"","Año","Entidad","Sexo","TOTHOM"
"1",2015,"Aguascalientes","Hombre",34
"2",2015,"Aguascalientes","Mujer",7
"3",2015,"Aguascalientes","No identificado",0
"4",2015,"Baja California","Hombre",785
"5",2015,"Baja California","Mujer",104
"6",2015,"Baja California","No identificado",10
"7",2015,"Baja California Sur","Hombre",155
"8",2015,"Baja California Sur","Mujer",21
"9",2015,"Baja California Sur","No identificado",1
"10",2015,"Campeche","Hombre",51
"11",2015,"Campeche","Mujer",4
"12",2015,"Campeche","No identificado",0
"13",2015,"Chiapas","Hombre",477
"14",2015,"Chiapas","Mujer",33
"15",2015,"Chiapas","No identificado",3
"16",2015,"Chihuahua","Hombre",1037
"17",2015,"Chihuahua","Mujer",104
"18",2015,"Chihuahua","No identificado",10
"19",2015,"Ciudad de México","Hombre",771
"20",2015,"Ciudad de México","Mujer",68
"21",2015,"Ciudad de México","No identificado",3
"22",2015,"Coahuila","Hombre",271
"23",2015,"Coahuila","Mujer",53
"24",2015,"Coahuila","No identificado",0
"25",2015,"Colima","Hombre",169
"26",2015,"Colima","Mujer",15
"27",2015,"Colima","No identificado",0
"28",2015,"Durango","Hombre",227
"29",2015,"Durango","Mujer",9
"30",2015,"Durango","No identificado",0
"31",2015,"Guanajuato","Hombre",847
"32",2015,"Guanajuato","Mujer",109
"33",2015,"Guanajuato","No identificado",1
"34",2015,"Guerrero","Hombre",1208
"35",2015,"Guerrero","Mujer",124
"36",2015,"Guerrero","No identificado",684
"37",2015,"Hidalgo","Hombre",125
"38",2015,"Hidalgo","Mujer",31
"39",2015,"Hidalgo","No identificado",2
"40",2015,"Jalisco","Hombre",984
"41",2015,"Jalisco","Mujer",74
"42",2015,"Jalisco","No identificado",20
"43",2015,"México","Hombre",1959
"44",2015,"México","Mujer",335
"45",2015,"México","No identificado",8
"46",2015,"Michoacán","Hombre",854
"47",2015,"Michoacán","Mujer",85
"48",2015,"Michoacán","No identificado",13
"49",2015,"Morelos","Hombre",433
"50",2015,"Morelos","Mujer",43
"51",2015,"Morelos","No identificado",19
"52",2015,"Nayarit","Hombre",81
"53",2015,"Nayarit","Mujer",8
"54",2015,"Nayarit","No identificado",2
"55",2015,"Nuevo León","Hombre",392
"56",2015,"Nuevo León","Mujer",58
"57",2015,"Nuevo León","No identificado",0
"58",2015,"Oaxaca","Hombre",208
"59",2015,"Oaxaca","Mujer",9
"60",2015,"Oaxaca","No identificado",8
"61",2015,"Puebla","Hombre",471
"62",2015,"Puebla","Mujer",85
"63",2015,"Puebla","No identificado",0
"64",2015,"Querétaro","Hombre",130
"65",2015,"Querétaro","Mujer",12
"66",2015,"Querétaro","No identificado",4
"67",2015,"Quintana Roo","Hombre",160
"68",2015,"Quintana Roo","Mujer",47
"69",2015,"Quintana Roo","No identificado",25
"70",2015,"San Luis Potosí","Hombre",221
"71",2015,"San Luis Potosí","Mujer",35
"72",2015,"San Luis Potosí","No identificado",1
"73",2015,"Sinaloa","Hombre",938
"74",2015,"Sinaloa","Mujer",34
"75",2015,"Sinaloa","No identificado",8
"76",2015,"Sonora","Hombre",500
"77",2015,"Sonora","Mujer",58
"78",2015,"Sonora","No identificado",31
"79",2015,"Tabasco","Hombre",189
"80",2015,"Tabasco","Mujer",22
"81",2015,"Tabasco","No identificado",33
"82",2015,"Tamaulipas","Hombre",642
"83",2015,"Tamaulipas","Mujer",77
"84",2015,"Tamaulipas","No identificado",43
"85",2015,"Tlaxcala","Hombre",44
"86",2015,"Tlaxcala","Mujer",8
"87",2015,"Tlaxcala","No identificado",9
"88",2015,"Veracruz","Hombre",481
"89",2015,"Veracruz","Mujer",38
"90",2015,"Veracruz","No identificado",55
"91",2015,"Yucatán","Hombre",44
"92",2015,"Yucatán","Mujer",8
"93",2015,"Yucatán","No identificado",0
"94",2015,"Zacatecas","Hombre",270
"95",2015,"Zacatecas","Mujer",16
"96",2015,"Zacatecas","No identificado",0
"97",2016,"Aguascalientes","Hombre",38
"98",2016,"Aguascalientes","Mujer",4
"99",2016,"Aguascalientes","No identificado",0
"100",2016,"Baja California","Hombre",1105
"101",2016,"Baja California","Mujer",123
"102",2016,"Baja California","No identificado",16
"103",2016,"Baja California Sur","Hombre",254
"104",2016,"Baja California Sur","Mujer",15
"105",2016,"Baja California Sur","No identificado",0
"106",2016,"Campeche","Hombre",76
"107",2016,"Campeche","Mujer",7
"108",2016,"Campeche","No identificado",5
"109",2016,"Chiapas","Hombre",442
"110",2016,"Chiapas","Mujer",45
"111",2016,"Chiapas","No identificado",2
"112",2016,"Chihuahua","Hombre",1328
"113",2016,"Chihuahua","Mujer",142
"114",2016,"Chihuahua","No identificado",0
"115",2016,"Ciudad de México","Hombre",915
"116",2016,"Ciudad de México","Mujer",73
"117",2016,"Ciudad de México","No identificado",0
"118",2016,"Coahuila","Hombre",202
"119",2016,"Coahuila","Mujer",30
"120",2016,"Coahuila","No identificado",1
"121",2016,"Colima","Hombre",543
"122",2016,"Colima","Mujer",38
"123",2016,"Colima","No identificado",2
"124",2016,"Durango","Hombre",224
"125",2016,"Durango","Mujer",12
"126",2016,"Durango","No identificado",0
"127",2016,"Guanajuato","Hombre",993
"128",2016,"Guanajuato","Mujer",103
"129",2016,"Guanajuato","No identificado",0
"130",2016,"Guerrero","Hombre",1871
"131",2016,"Guerrero","Mujer",341
"132",2016,"Guerrero","No identificado",1
"133",2016,"Hidalgo","Hombre",120
"134",2016,"Hidalgo","Mujer",36
"135",2016,"Hidalgo","No identificado",0
"136",2016,"Jalisco","Hombre",1138
"137",2016,"Jalisco","Mujer",84
"138",2016,"Jalisco","No identificado",14
"139",2016,"México","Hombre",1954
"140",2016,"México","Mujer",292
"141",2016,"México","No identificado",11
"142",2016,"Michoacán","Hombre",1315
"143",2016,"Michoacán","Mujer",99
"144",2016,"Michoacán","No identificado",36
"145",2016,"Morelos","Hombre",589
"146",2016,"Morelos","Mujer",58
"147",2016,"Morelos","No identificado",9
"148",2016,"Nayarit","Hombre",29
"149",2016,"Nayarit","Mujer",14
"150",2016,"Nayarit","No identificado",0
"151",2016,"Nuevo León","Hombre",555
"152",2016,"Nuevo León","Mujer",86
"153",2016,"Nuevo León","No identificado",0
"154",2016,"Oaxaca","Hombre",802
"155",2016,"Oaxaca","Mujer",27
"156",2016,"Oaxaca","No identificado",18
"157",2016,"Puebla","Hombre",562
"158",2016,"Puebla","Mujer",87
"159",2016,"Puebla","No identificado",9
"160",2016,"Querétaro","Hombre",111
"161",2016,"Querétaro","Mujer",10
"162",2016,"Querétaro","No identificado",0
"163",2016,"Quintana Roo","Hombre",92
"164",2016,"Quintana Roo","Mujer",25
"165",2016,"Quintana Roo","No identificado",48
"166",2016,"San Luis Potosí","Hombre",293
"167",2016,"San Luis Potosí","Mujer",32
"168",2016,"San Luis Potosí","No identificado",8
"169",2016,"Sinaloa","Hombre",1082
"170",2016,"Sinaloa","Mujer",31
