"","Año","Modalidad","Total"
"1",2015,"Agresión sexual",2
"2",2015,"Agresiones con fuego o explosivos",143
"3",2015,"Ahorcamiento o ahogamiento",1493
"4",2015,"Arma blanca",3334
"5",2015,"Arma de fuego",12619
"6",2015,"Envenenamiento o sustancia nociva",20
"7",2015,"Fuerza corporal",57
"8",2015,"Maltrato o abandono",46
"9",2015,"Medios no especificados",2572
"10",2015,NA,101
"11",2016,"Agresiones con fuego o explosivos",189
"12",2016,"Ahorcamiento o ahogamiento",1770
"13",2016,"Arma blanca",3842
"14",2016,"Arma de fuego",15982
"15",2016,"Envenenamiento o sustancia nociva",28
"16",2016,"Fuerza corporal",112
"17",2016,"Maltrato o abandono",38
"18",2016,"Medios no especificados",2673
"19",2016,NA,79
"20",2017,"Agresiones con fuego o explosivos",214
"21",2017,"Ahorcamiento o ahogamiento",2259
"22",2017,"Arma blanca",4362
"23",2017,"Arma de fuego",21978
"24",2017,"Envenenamiento o sustancia nociva",34
"25",2017,"Fuerza corporal",90
"26",2017,"Maltrato o abandono",45
"27",2017,"Medios no especificados",3148
"28",2017,NA,100
"29",2018,"Agresiones con fuego o explosivos",228
"30",2018,"Ahorcamiento o ahogamiento",2477
"31",2018,"Arma blanca",4412
"32",2018,"Arma de fuego",25656
"33",2018,"Envenenamiento o sustancia nociva",31
"34",2018,"Fuerza corporal",92
"35",2018,"Maltrato o abandono",38
"36",2018,"Medios no especificados",3430
"37",2018,NA,121
"38",2019,"Agresión sexual",2
"39",2019,"Agresiones con fuego o explosivos",200
"40",2019,"Ahorcamiento o ahogamiento",2610
"41",2019,"Arma blanca",4145
"42",2019,"Arma de fuego",25540
"43",2019,"Envenenamiento o sustancia nociva",22
"44",2019,"Fuerza corporal",76
"45",2019,"Maltrato o abandono",34
"46",2019,"Medios no especificados",3306
"47",2019,NA,130
"48",2020,"Agresión sexual",2
"49",2020,"Agresiones con fuego o explosivos",238
"50",2020,"Ahorcamiento o ahogamiento",2817
"51",2020,"Arma blanca",3793
"52",2020,"Arma de fuego",25212
"53",2020,"Envenenamiento o sustancia nociva",36
"54",2020,"Fuerza corporal",99
"55",2020,"Maltrato o abandono",30
"56",2020,"Medios no especificados",3345
"57",2020,NA,72
