"","Año","Entidad","Sexo","TOTHOM_INEGI"
"1",2015,"Aguascalientes","Hombre",40
"2",2015,"Aguascalientes","Mujer",7
"3",2015,"Baja California","Hombre",742
"4",2015,"Baja California","Mujer",110
"5",2015,"Baja California","No especificado",1
"6",2015,"Baja California Sur","Hombre",157
"7",2015,"Baja California Sur","Mujer",23
"8",2015,"Campeche","Hombre",57
"9",2015,"Campeche","Mujer",9
"10",2015,"Chiapas","Hombre",474
"11",2015,"Chiapas","Mujer",69
"12",2015,"Chihuahua","Hombre",1331
"13",2015,"Chihuahua","Mujer",129
"14",2015,"Chihuahua","No especificado",5
"15",2015,"Ciudad de México","Hombre",932
"16",2015,"Ciudad de México","Mujer",136
"17",2015,"Coahuila","Hombre",237
"18",2015,"Coahuila","Mujer",61
"19",2015,"Colima","Hombre",204
"20",2015,"Colima","Mujer",26
"21",2015,"Durango","Hombre",196
"22",2015,"Durango","Mujer",8
"23",2015,"Guanajuato","Hombre",866
"24",2015,"Guanajuato","Mujer",106
"25",2015,"Guanajuato","No especificado",2
"26",2015,"Guerrero","Hombre",2119
"27",2015,"Guerrero","Mujer",213
"28",2015,"Guerrero","No especificado",10
"29",2015,"Hidalgo","Hombre",176
"30",2015,"Hidalgo","Mujer",50
"31",2015,"Jalisco","Hombre",1049
"32",2015,"Jalisco","Mujer",143
"33",2015,"Jalisco","No especificado",2
"34",2015,"México","Hombre",2264
"35",2015,"México","Mujer",400
"36",2015,"México","No especificado",11
"37",2015,"Michoacán","Hombre",780
"38",2015,"Michoacán","Mujer",84
"39",2015,"Michoacán","No especificado",2
"40",2015,"Morelos","Hombre",411
"41",2015,"Morelos","Mujer",47
"42",2015,"Morelos","No especificado",2
"43",2015,"Nayarit","Hombre",117
"44",2015,"Nayarit","Mujer",12
"45",2015,"Nuevo León","Hombre",411
"46",2015,"Nuevo León","Mujer",55
"47",2015,"Nuevo León","No especificado",2
"48",2015,"Oaxaca","Hombre",699
"49",2015,"Oaxaca","Mujer",92
"50",2015,"Oaxaca","No especificado",1
"51",2015,"Puebla","Hombre",537
"52",2015,"Puebla","Mujer",89
"53",2015,"Querétaro","Hombre",121
"54",2015,"Querétaro","Mujer",22
"55",2015,"Querétaro","No especificado",2
"56",2015,"Quintana Roo","Hombre",123
"57",2015,"Quintana Roo","Mujer",22
"58",2015,"San Luis Potosí","Hombre",220
"59",2015,"San Luis Potosí","Mujer",40
"60",2015,"San Luis Potosí","No especificado",1
"61",2015,"Sinaloa","Hombre",1026
"62",2015,"Sinaloa","Mujer",51
"63",2015,"Sinaloa","No especificado",4
"64",2015,"Sonora","Hombre",516
"65",2015,"Sonora","Mujer",62
"66",2015,"Sonora","No especificado",4
"67",2015,"Tabasco","Hombre",330
"68",2015,"Tabasco","Mujer",33
"69",2015,"Tamaulipas","Hombre",555
"70",2015,"Tamaulipas","Mujer",82
"71",2015,"Tamaulipas","No especificado",27
"72",2015,"Tlaxcala","Hombre",68
"73",2015,"Tlaxcala","Mujer",12
"74",2015,"Veracruz","Hombre",869
"75",2015,"Veracruz","Mujer",108
"76",2015,"Veracruz","No especificado",5
"77",2015,"Yucatán","Hombre",49
"78",2015,"Yucatán","Mujer",9
"79",2015,"Zacatecas","Hombre",289
"80",2015,"Zacatecas","Mujer",21
"81",2015,"Zacatecas","No especificado",2
"82",2015,NA,"Hombre",7
"83",2015,NA,"Mujer",1
"84",2016,"Aguascalientes","Hombre",45
"85",2016,"Aguascalientes","Mujer",5
"86",2016,"Baja California","Hombre",1050
"87",2016,"Baja California","Mujer",132
"88",2016,"Baja California","No especificado",6
"89",2016,"Baja California Sur","Hombre",225
"90",2016,"Baja California Sur","Mujer",12
"91",2016,"Campeche","Hombre",81
"92",2016,"Campeche","Mujer",11
"93",2016,"Campeche","No especificado",1
"94",2016,"Chiapas","Hombre",471
"95",2016,"Chiapas","Mujer",78
"96",2016,"Chihuahua","Hombre",1609
"97",2016,"Chihuahua","Mujer",173
"98",2016,"Chihuahua","No especificado",3
"99",2016,"Ciudad de México","Hombre",1126
"100",2016,"Ciudad de México","Mujer",145
"101",2016,"Coahuila","Hombre",210
"102",2016,"Coahuila","Mujer",38
"103",2016,"Colima","Hombre",548
"104",2016,"Colima","Mujer",62
"105",2016,"Colima","No especificado",3
"106",2016,"Durango","Hombre",205
"107",2016,"Durango","Mujer",13
"108",2016,"Guanajuato","Hombre",1103
"109",2016,"Guanajuato","Mujer",129
"110",2016,"Guanajuato","No especificado",1
"111",2016,"Guerrero","Hombre",2302
"112",2016,"Guerrero","Mujer",248
"113",2016,"Guerrero","No especificado",13
"114",2016,"Hidalgo","Hombre",171
"115",2016,"Hidalgo","Mujer",43
"116",2016,"Jalisco","Hombre",1235
"117",2016,"Jalisco","Mujer",139
"118",2016,"Jalisco","No especificado",4
"119",2016,"México","Hombre",2342
"120",2016,"México","Mujer",426
"121",2016,"México","No especificado",12
"122",2016,"Michoacán","Hombre",1307
"123",2016,"Michoacán","Mujer",131
"124",2016,"Michoacán","No especificado",5
"125",2016,"Morelos","Hombre",574
"126",2016,"Morelos","Mujer",88
"127",2016,"Nayarit","Hombre",128
"128",2016,"Nayarit","Mujer",23
"129",2016,"Nuevo León","Hombre",537
"130",2016,"Nuevo León","Mujer",80
"131",2016,"Oaxaca","Hombre",740
"132",2016,"Oaxaca","Mujer",116
"133",2016,"Oaxaca","No especificado",4
"134",2016,"Puebla","Hombre",649
"135",2016,"Puebla","Mujer",100
"136",2016,"Querétaro","Hombre",118
"137",2016,"Querétaro","Mujer",16
"138",2016,"Quintana Roo","Hombre",168
"139",2016,"Quintana Roo","Mujer",28
"140",2016,"San Luis Potosí","Hombre",299
"141",2016,"San Luis Potosí","Mujer",32
"142",2016,"San Luis Potosí","No especificado",1
"143",2016,"Sinaloa","Hombre",1189
"144",2016,"Sinaloa","Mujer",85
"145",2016,"Sinaloa","No especificado",3
"146",2016,"Sonora","Hombre",532
"147",2016,"Sonora","Mujer",53
"148",2016,"Sonora","No especificado",2
"149",2016,"Tabasco","Hombre",384
"150",2016,"Tabasco","Mujer",50
"151",2016,"Tamaulipas","Hombre",665
"152",2016,"Tamaulipas","Mujer",126
"153",2016,"Tamaulipas","No especificado",7
"154",2016,"Tlaxcala","Hombre",85
"155",2016,"Tlaxcala","Mujer",11
"156",2016,"Veracruz","Hombre",1135
"157",2016,"Veracruz","Mujer",142
"158",2016,"Veracruz","No especificado",2
"159",2016,"Yucatán","Hombre",54
"160",2016,"Yucatán","Mujer",9
"161",2016,"Zacatecas","Hombre",499
"162",2016,"Zacatecas","Mujer",79
"163",2016,"Zacatecas","No especificado",2
"164",2016,NA,"Hombre",29
"165",2016,NA,"Mujer",6
"166",2017,"Aguascalientes","Hombre",73
"167",2017,"Aguascalientes","Mujer",7
"168",2017,"Baja California","Hombre",1965
"169",2017,"Baja California","Mujer",202
"170",2017,"Baja California","No especificado",11
"171",2017,"Baja California Sur","Hombre",674
"172",2017,"Baja California Sur","Mujer",79
"173",2017,"Campeche","Hombre",70
"174",2017,"Campeche","Mujer",6
"175",2017,"Chiapas","Hombre",525
"176",2017,"Chiapas","Mujer",65
"177",2017,"Chihuahua","Hombre",1963
"178",2017,"Chihuahua","Mujer",244
"179",2017,"Chihuahua","No especificado",3
"180",2017,"Ciudad de México","Hombre",1182
"181",2017,"Ciudad de México","Mujer",142
"182",2017,"Coahuila","Hombre",220
"183",2017,"Coahuila","Mujer",35
"184",2017,"Colima","Hombre",742
"185",2017,"Colima","Mujer",74
