"","Año","Entidad","Sexo","POBTOT"
"1",2015,"Aguascalientes","Hombre",648008
"2",2015,"Aguascalientes","Mujer",670565
"3",2015,"Baja California","Hombre",1675322
"4",2015,"Baja California","Mujer",1666956
"5",2015,"Baja California Sur","Hombre",362552
"6",2015,"Baja California Sur","Mujer",348797
"7",2015,"Campeche","Hombre",449284
"8",2015,"Campeche","Mujer",459443
"9",2015,"Chiapas","Hombre",2581456
"10",2015,"Chiapas","Mujer",2683225
"11",2015,"Chihuahua","Hombre",1790056
"12",2015,"Chihuahua","Mujer",1813786
"13",2015,"Ciudad de México","Hombre",4333821
"14",2015,"Ciudad de México","Mujer",4728015
"15",2015,"Coahuila","Hombre",1487125
"16",2015,"Coahuila","Mujer",1493512
"17",2015,"Colima","Hombre",355145
"18",2015,"Colima","Mujer",360090
"19",2015,"Durango","Hombre",873733
"20",2015,"Durango","Mujer",896297
"21",2015,"Guanajuato","Hombre",2868116
"22",2015,"Guanajuato","Mujer",3026749
"23",2015,"Guerrero","Hombre",1727413
"24",2015,"Guerrero","Mujer",1837168
"25",2015,"Hidalgo","Hombre",1391577
"26",2015,"Hidalgo","Mujer",1487996
"27",2015,"Jalisco","Hombre",3900939
"28",2015,"Jalisco","Mujer",4017012
"29",2015,"México","Hombre",7985687
"30",2015,"México","Mujer",8366172
"31",2015,"Michoacán","Hombre",2243959
"32",2015,"Michoacán","Mujer",2379649
"33",2015,"Morelos","Hombre",929086
"34",2015,"Morelos","Mujer",988948
"35",2015,"Nayarit","Hombre",592424
"36",2015,"Nayarit","Mujer",593480
"37",2015,"Nuevo León","Hombre",2578665
"38",2015,"Nuevo León","Mujer",2578858
"39",2015,"Oaxaca","Hombre",1922836
"40",2015,"Oaxaca","Mujer",2082324
"41",2015,"Puebla","Hombre",3002343
"42",2015,"Puebla","Mujer",3234902
"43",2015,"Querétaro","Hombre",1006161
"44",2015,"Querétaro","Mujer",1040570
"45",2015,"Quintana Roo","Hombre",759778
"46",2015,"Quintana Roo","Mujer",745353
"47",2015,"San Luis Potosí","Hombre",1341223
"48",2015,"San Luis Potosí","Mujer",1405094
"49",2015,"Sinaloa","Hombre",1490667
"50",2015,"Sinaloa","Mujer",1505743
"51",2015,"Sonora","Hombre",1429274
"52",2015,"Sonora","Mujer",1437282
"53",2015,"Tabasco","Hombre",1188232
"54",2015,"Tabasco","Mujer",1221886
"55",2015,"Tamaulipas","Hombre",1723754
"56",2015,"Tamaulipas","Mujer",1754920
"57",2015,"Tlaxcala","Hombre",625431
"58",2015,"Tlaxcala","Mujer",659076
"59",2015,"Veracruz","Hombre",3982151
"60",2015,"Veracruz","Mujer",4214827
"61",2015,"Yucatán","Hombre",1044164
"62",2015,"Yucatán","Mujer",1070826
"63",2015,"Zacatecas","Hombre",782828
"64",2015,"Zacatecas","Mujer",810562
"65",2016,"Aguascalientes","Hombre",662066
"66",2016,"Aguascalientes","Mujer",682895
"67",2016,"Baja California","Hombre",1687315
"68",2016,"Baja California","Mujer",1685893
"69",2016,"Baja California Sur","Hombre",370743
"70",2016,"Baja California Sur","Mujer",357498
"71",2016,"Campeche","Hombre",456746
"72",2016,"Campeche","Mujer",468079
"73",2016,"Chiapas","Hombre",2621959
"74",2016,"Chiapas","Mujer",2728863
"75",2016,"Chihuahua","Hombre",1801507
"76",2016,"Chihuahua","Mujer",1827517
"77",2016,"Ciudad de México","Hombre",4329021
"78",2016,"Ciudad de México","Mujer",4726502
"79",2016,"Coahuila","Hombre",1507909
"80",2016,"Coahuila","Mujer",1512462
"81",2016,"Colima","Hombre",361410
"82",2016,"Colima","Mujer",366654
"83",2016,"Durango","Hombre",885322
"84",2016,"Durango","Mujer",907693
"85",2016,"Guanajuato","Hombre",2908883
"86",2016,"Guanajuato","Mujer",3057383
"87",2016,"Guerrero","Hombre",1737484
"88",2016,"Guerrero","Mujer",1851009
"89",2016,"Hidalgo","Hombre",1410644
"90",2016,"Hidalgo","Mujer",1508672
"91",2016,"Jalisco","Hombre",3949231
"92",2016,"Jalisco","Mujer",4059326
"93",2016,"México","Hombre",8083534
"94",2016,"México","Mujer",8471759
"95",2016,"Michoacán","Hombre",2266140
"96",2016,"Michoacán","Mujer",2399615
"97",2016,"Morelos","Hombre",941292
"98",2016,"Morelos","Mujer",1001572
"99",2016,"Nayarit","Hombre",601965
"100",2016,"Nayarit","Mujer",602985
"101",2016,"Nuevo León","Hombre",2626831
"102",2016,"Nuevo León","Mujer",2626401
"103",2016,"Oaxaca","Hombre",1936573
"104",2016,"Oaxaca","Mujer",2096604
"105",2016,"Puebla","Hombre",3039259
"106",2016,"Puebla","Mujer",3272355
"107",2016,"Querétaro","Hombre",1030837
"108",2016,"Querétaro","Mujer",1061438
"109",2016,"Quintana Roo","Hombre",778222
"110",2016,"Quintana Roo","Mujer",766278
"111",2016,"San Luis Potosí","Hombre",1352761
"112",2016,"San Luis Potosí","Mujer",1417312
"113",2016,"Sinaloa","Hombre",1509191
"114",2016,"Sinaloa","Mujer",1525882
"115",2016,"Sonora","Hombre",1443833
"116",2016,"Sonora","Mujer",1459019
"117",2016,"Tabasco","Hombre",1204162
"118",2016,"Tabasco","Mujer",1238158
"119",2016,"Tamaulipas","Hombre",1739531
"120",2016,"Tamaulipas","Mujer",1771124
"121",2016,"Tlaxcala","Hombre",636286
"122",2016,"Tlaxcala","Mujer",669484
"123",2016,"Veracruz","Hombre",4027316
"124",2016,"Veracruz","Mujer",4258097
"125",2016,"Yucatán","Hombre",1057671
"126",2016,"Yucatán","Mujer",1084846
"127",2016,"Zacatecas","Hombre",792080
"128",2016,"Zacatecas","Mujer",817825
"129",2017,"Aguascalientes","Hombre",672369
"130",2017,"Aguascalientes","Mujer",693211
"131",2017,"Baja California","Hombre",1716984
"132",2017,"Baja California","Mujer",1716365
"133",2017,"Baja California Sur","Hombre",379485
"134",2017,"Baja California Sur","Mujer",366168
"135",2017,"Campeche","Hombre",465318
"136",2017,"Campeche","Mujer",476638
"137",2017,"Chiapas","Hombre",2663335
"138",2017,"Chiapas","Mujer",2773611
"139",2017,"Chihuahua","Hombre",1821202
"140",2017,"Chihuahua","Mujer",1848501
"141",2017,"Ciudad de México","Hombre",4326935
"142",2017,"Ciudad de México","Mujer",4725408
"143",2017,"Coahuila","Hombre",1530244
"144",2017,"Coahuila","Mujer",1535402
"145",2017,"Colima","Hombre",368183
"146",2017,"Colima","Mujer",372968
"147",2017,"Durango","Hombre",893944
"148",2017,"Durango","Mujer",916863
"149",2017,"Guanajuato","Hombre",2939794
"150",2017,"Guanajuato","Mujer",3088820
"151",2017,"Guerrero","Hombre",1746072
"152",2017,"Guerrero","Mujer",1859950
"153",2017,"Hidalgo","Hombre",1429502
"154",2017,"Hidalgo","Mujer",1528594
"155",2017,"Jalisco","Hombre",3996046
"156",2017,"Jalisco","Mujer",4107195
"157",2017,"México","Hombre",8185812
"158",2017,"México","Mujer",8575798
"159",2017,"Michoacán","Hombre",2285464
"160",2017,"Michoacán","Mujer",2418344
"161",2017,"Morelos","Hombre",953140
"162",2017,"Morelos","Mujer",1013336
"163",2017,"Nayarit","Hombre",611749
"164",2017,"Nayarit","Mujer",612466
"165",2017,"Nuevo León","Hombre",2667592
"166",2017,"Nuevo León","Mujer",2667474
"167",2017,"Oaxaca","Hombre",1949304
"168",2017,"Oaxaca","Mujer",2110403
"169",2017,"Puebla","Hombre",3073003
"170",2017,"Puebla","Mujer",3307170
"171",2017,"Querétaro","Hombre",1052270
"172",2017,"Querétaro","Mujer",1082822
"173",2017,"Quintana Roo","Hombre",799085
