"","Año","Entidad","Sexo","POBTOT","TOTHOM","TOTHOM_INEGI"
"1",2015,"Aguascalientes","Hombre",648008,34,40
"2",2015,"Aguascalientes","Mujer",670565,7,7
"3",2015,"Baja California","Hombre",1675322,785,742
"4",2015,"Baja California","Mujer",1666956,104,110
"5",2015,"Baja California Sur","Hombre",362552,155,157
"6",2015,"Baja California Sur","Mujer",348797,21,23
"7",2015,"Campeche","Hombre",449284,51,57
"8",2015,"Campeche","Mujer",459443,4,9
"9",2015,"Chiapas","Hombre",2581456,477,474
"10",2015,"Chiapas","Mujer",2683225,33,69
"11",2015,"Chihuahua","Hombre",1790056,1037,1331
"12",2015,"Chihuahua","Mujer",1813786,104,129
"13",2015,"Ciudad de México","Hombre",4333821,771,932
"14",2015,"Ciudad de México","Mujer",4728015,68,136
"15",2015,"Coahuila","Hombre",1487125,271,237
"16",2015,"Coahuila","Mujer",1493512,53,61
"17",2015,"Colima","Hombre",355145,169,204
"18",2015,"Colima","Mujer",360090,15,26
"19",2015,"Durango","Hombre",873733,227,196
"20",2015,"Durango","Mujer",896297,9,8
"21",2015,"Guanajuato","Hombre",2868116,847,866
"22",2015,"Guanajuato","Mujer",3026749,109,106
"23",2015,"Guerrero","Hombre",1727413,1208,2119
"24",2015,"Guerrero","Mujer",1837168,124,213
"25",2015,"Hidalgo","Hombre",1391577,125,176
"26",2015,"Hidalgo","Mujer",1487996,31,50
"27",2015,"Jalisco","Hombre",3900939,984,1049
"28",2015,"Jalisco","Mujer",4017012,74,143
"29",2015,"México","Hombre",7985687,1959,2264
"30",2015,"México","Mujer",8366172,335,400
"31",2015,"Michoacán","Hombre",2243959,854,780
"32",2015,"Michoacán","Mujer",2379649,85,84
"33",2015,"Morelos","Hombre",929086,433,411
"34",2015,"Morelos","Mujer",988948,43,47
"35",2015,"Nayarit","Hombre",592424,81,117
"36",2015,"Nayarit","Mujer",593480,8,12
"37",2015,"Nuevo León","Hombre",2578665,392,411
"38",2015,"Nuevo León","Mujer",2578858,58,55
"39",2015,"Oaxaca","Hombre",1922836,208,699
